json_category_keys,full_category_name
"[""Accountant""]",Accountant
"[""Accounting"", ""Assistant""]",Accounting Assistant
"[""Accounts"", ""Payable"", ""Manager""]",Accounts Payable Manager
"[""Acupuncturist""]",Acupuncturist
"[""Adjunct"", ""Professor""]",Adjunct Professor
"[""Administrative"", ""Assistant""]",Administrative Assistant
"[""Admissions"", ""Counselor""]",Admissions Counselor
"[""Aerospace"", ""Engineer""]",Aerospace Engineer 
"[""Aircraft"", ""Mechanic""]",Aircraft Mechanic
"[""Android"", ""Developer""]",Android Developer
"[""Animal"", ""Control"", ""Officer""]",Animal Control Officer
"[""Applications"", ""Manager""]",Applications Manager
"[""Apprentice"", ""Lineman""]",Apprentice Lineman 
"[""Archivist""]",Archivist
"[""Art"", ""Teacher""]",Art Teacher
"[""Art"", ""Therapist""]",Art Therapist
"[""Assistant"", ""Football"", ""Coach""]",Assistant Football Coach
"[""Assistant"", ""Manager""]",Assistant Manager
"[""Assistant"", ""Project"", ""Manager""]",Assistant Project Manager
"[""Athletic"", ""Director""]",Athletic Director
"[""Athletic"", ""Trainer""]",Athletic Trainer
"[""Attorney""]",Attorney
"[""Auto"", ""Body"", ""Technician""]",Auto Body Technician
"[""Auto"", ""Damage"", ""Appraiser""]",Auto Damage Appraiser
"[""Auto"", ""Mechanic""]",Auto Mechanic
"[""Auto"", ""Sales""]",Auto Sales
"[""Autocad"", ""Drafter""]",Autocad Drafter
"[""Automation"", ""Engineer""]",Automation Engineer
"[""Automotive"", ""Service"", ""Manager""]",Automotive Service Manager
"[""Automotive"", ""Technician""]",Automotive Technician
"[""Babysitter""]",Babysitter
"[""Background"", ""Investigator""]",Background Investigator
"[""Band"", ""Director""]",Band Director
"[""Bank"", ""Operations"", ""Manager""]",Bank Operations Manager
"[""Bank"", ""Reconciliation""]",Bank Reconciliation 
"[""Bank"", ""Teller""]",Bank Teller
"[""Barber""]",Barber
"[""Barista""]",Barista
"[""Bartender""]",Bartender
"[""Billing"", ""Specialist""]",Billing Specialist
"[""Biologist""]",Biologist
"[""Biomedical"", ""Engineer""]",Biomedical Engineer
"[""Biomedical"", ""Equipment"", ""Technician""]",Biomedical Equipment Technician
"[""Biomedical"", ""Technician""]",Biomedical Technician
"[""Biostatistician""]",Biostatistician
"[""Boat"", ""Captain""]",Boat Captain
"[""Body"", ""Shop"", ""Estimator""]",Body Shop Estimator
"[""Boiler"", ""Operator""]",Boiler Operator
"[""Boilermaker""]",Boilermaker
"[""Bookkeeper""]",Bookkeeper
"[""Bounty"", ""Hunter""]",Bounty Hunter
"[""Brand"", ""Ambassador""]",Brand Ambassador
"[""Brick"", ""Mason""]",Brick Mason
"[""Bricklayer""]",Bricklayer
"[""Bus"", ""Driver""]",Bus Driver
"[""Business"", ""Analyst""]",Business Analyst
"[""Business"", ""Analyst"", ""Manager""]",Business Analyst Manager 
